DCM_5uM_(slits_5_5)_(PMT_600)_(Em_442)_medium,,ACN_5uM_(slits_5_5)_(PMT_600)_(Em_460)_medium,,EtOH_5uM_(slits_5_5)_(PMT_600)_(Em_485)_medium,,DMF_5uM_(slits_5_5)_(PMT_600)_(Em_456)_medium,,DMSO_5uM_(slits_5_5)_(PMT_600)_(Em_463)_medium,
W1,I1,W2,I2,W3,I3,W4,I4,W5,I5
306,313.392334,280.9299927,241.4006195,280.9299927,352.1252441,341.0700073,532.0305176,341.0700073,769.6538086
307.0700073,312.3314514,282.0299988,251.4209442,282.0299988,364.6227112,342,544.3553467,342,766.2955933
308,319.4470825,282.9599915,257.876709,282.9599915,366.8717346,343.0700073,531.4761353,343.0700073,781.9176636
309.0700073,324.7997131,284.0599976,263.0986938,284.0599976,377.509552,344,539.6344604,344,781.7700806
310,330.3813171,285,266.4650574,285,383.6235046,345.0700073,539.4301147,345.0700073,785.0175171
311.0700073,329.0682983,285.9299927,273.0576172,285.9299927,390.8197632,346,537.9736328,346,788.600647
312,331.9837952,287.0299988,281.3209534,287.0299988,394.9114075,347.0700073,539.6825562,347.0700073,781.1224976
313.0700073,337.8347778,287.9599915,288.5326233,287.9599915,410.8969421,348,530.6646729,348,784.2828369
314,338.8267822,289.0599976,288.5210266,289.0599976,414.1626892,349.0700073,533.2338257,349.0700073,785.3613281
315.0700073,343.5951538,290,290.8959961,290,419.9364319,350,517.5025024,350,767.5108032
316,350.5938416,290.9299927,298.1357422,290.9299927,426.911499,351.0700073,522.1742554,351.0700073,776.8398438
317.0700073,353.3021545,292.0299988,307.5003662,292.0299988,430.2064514,352,509.6655579,352,768.8560791
318,357.0262756,292.9599915,311.6654663,292.9599915,442.9559326,353.0700073,510.5957336,353.0700073,765.5251465
319.0700073,351.7693481,294.0599976,321.2460327,294.0599976,453.5155945,354,489.0372925,354,750.4226074
320,366.0880127,295,328.1646729,295,457.0597839,355.0700073,492.2124939,355.0700073,739.6766968
320.9299927,370.9688416,295.9299927,326.4441833,295.9299927,464.4104309,356,487.480835,356,734.4506226
322.0299988,381.2808838,297.0299988,339.0462036,297.0299988,473.7246399,357.0700073,475.4481201,357.0700073,738.7904663
322.9599915,392.7879944,297.9599915,340.1944275,297.9599915,473.2875671,358,474.7192993,358,722.2920532
324.0599976,401.9772339,299.0599976,336.9434814,299.0599976,472.86026,359.0700073,457.3039246,359.0700073,716.0309448
325,400.2572327,300,343.0638123,300,478.0927124,360,456.3063354,360,709.9996948
325.9299927,413.1344299,301.0700073,351.9491882,301.0700073,482.5189819,361.0700073,447.0157776,361.0700073,704.1843872
327.0299988,414.4248962,302,351.3223572,302,482.3344116,362,435.3556213,362,691.4439697
327.9599915,423.8244934,303.0700073,355.4188843,303.0700073,486.8468933,363.0700073,429.3951111,363.0700073,675.7815552
329.0599976,429.5784302,304,361.8892517,304,492.0641785,364,423.141571,364,670.5124512
330,436.6973572,305.0700073,357.7977295,305.0700073,491.3959351,365.0700073,413.9006042,365.0700073,652.6004639
331.0700073,440.6567383,306,368.4381409,306,498.183136,366,402.0172424,366,634.3763428
332,445.8993225,307.0700073,383.9660645,307.0700073,511.1141663,367.0700073,388.6855774,367.0700073,622.0021362
333.0700073,459.1254883,308,379.6689758,308,519.821167,368,386.3274536,368,617.8955078
334,461.6898499,309.0700073,387.8927917,309.0700073,518.4217529,369.0700073,373.9394226,369.0700073,598.6035767
335.0700073,466.9086609,310,389.7259827,310,518.7713623,370,339.9354858,370,573.0380249
336,461.9671936,311.0700073,395.8128967,311.0700073,527.4317627,371.0700073,329.9732056,371.0700073,553.0874634
337.0700073,474.4983826,312,403.3328857,312,528.5189209,372,319.5073547,372,544.8164673
338,464.0670471,313.0700073,418.8170776,313.0700073,535.2658081,373.0700073,301.7648621,373.0700073,527.2002563
339.0700073,480.7104797,314,421.2236633,314,543.711853,374,287.3377991,374,502.4508972
340,477.052002,315.0700073,413.13797,315.0700073,544.4026489,375.0700073,272.5025635,375.0700073,490.0861206
341.0700073,478.1707458,316,424.2761841,316,549.9794922,376,259.1802063,376,462.4710388
342,479.3494873,317.0700073,434.8749695,317.0700073,562.7184448,377.0700073,239.5452881,377.0700073,441.8873291
343.0700073,476.6672668,318,442.8379822,318,569.4182739,378,229.5616608,378,430.7949524
344,478.1820068,319.0700073,448.4620361,319.0700073,576.7442017,379.0700073,214.5599365,379.0700073,413.3760071
345.0700073,475.6765747,320,452.4866638,320,584.2875366,380,198.0331573,380,390.8612976
346,473.4325256,320.9299927,461.0947266,320.9299927,592.8843384,381.0599976,180.3307343,381.0599976,358.7596741
347.0700073,467.1405029,322.0299988,476.4837036,322.0299988,605.8625488,381.9599915,165.9794312,381.9599915,332.7385559
348,466.1291199,322.9599915,491.3441772,322.9599915,615.9187622,383.0299988,147.6392365,383.0299988,300.3285217
349.0700073,454.9249878,324.0599976,495.4971313,324.0599976,650.5350342,383.9299927,136.8750153,383.9299927,283.3487244
350,453.0670166,325,499.3212585,325,648.7122192,385,119.4001541,385,261.7505493
351.0700073,445.4347839,325.9299927,512.6622314,325.9299927,650.5401001,386.0599976,108.9108887,386.0599976,230.5754852
352,442.4178467,327.0299988,522.3173828,327.0299988,665.7427979,386.9599915,96.92929077,386.9599915,217.4513702
353.0700073,438.2934875,327.9599915,532.831665,327.9599915,684.652832,388.0299988,85.49706268,388.0299988,195.5462189
354,435.8178101,329.0599976,528.5651245,329.0599976,700.8739014,388.9299927,74.52809906,388.9299927,177.4907532
355.0700073,424.991394,330,534.8078613,330,696.6555786,390,67.29065704,390,158.100296
356,412.1723633,331.0700073,538.4512329,331.0700073,710.632019,391.0700073,56.0308876,391.0700073,135.4550629
357.0700073,406.0539551,332,545.2746582,332,726.5081787,392,49.36570358,392,120.6065979
358,404.3184509,333.0700073,557.0374146,333.0700073,749.2955933,393.0700073,44.683815,393.0700073,108.3741989
359.0700073,391.0071716,334,556.5105591,334,753.7462158,394,39.18344879,394,98.56232452
360,388.742981,335.0700073,559.4672852,335.0700073,748.6897583,395.0700073,34.91503906,395.0700073,89.26208496
361.0700073,377.6315613,336,568.6431274,336,752.4727783,396,30.42432404,396,77.20623016
362,370.5291748,337.0700073,569.3054199,337.0700073,773.0155029,397.0700073,25.52313614,397.0700073,68.54091644
363.0700073,368.7417603,338,562.1374512,338,775.6485596,398,22.8849659,398,59.79565811
364,354.3598022,339.0700073,568.9249878,339.0700073,787.7525635,399.0700073,20.14240074,399.0700073,52.09129333
365.0700073,346.4883118,340,570.8027954,340,793.7095947,400,17.00010109,400,45.02552414
366,337.244873,341.0700073,563.4351807,341.0700073,798.8441772,401.0700073,15.0475769,401.0700073,38.5724678
367.0700073,332.148468,342,560.7561035,342,788.9958496,402,13.76733208,402,34.01578522
368,319.1650085,343.0700073,558.791626,343.0700073,791.9898071,403.0700073,11.90322208,403.0700073,29.36575127
369.0700073,305.7069092,344,552.8913574,344,794.4187622,404,10.1198349,404,25.33340836
370,285.9568481,345.0700073,544.8158569,345.0700073,785.1903687,405.0700073,9.247311592,405.0700073,22.39191246
371.0700073,274.0444641,346,549.4954834,346,792.1547852,406,7.754010677,406,20.25325203
372,260.5797119,347.0700073,540.706543,347.0700073,784.065979,407.0700073,5.950578213,407.0700073,18.10506248
373.0700073,251.679306,348,531.2286377,348,780.7877808,408,5.688628197,408,15.83152294
374,239.1640015,349.0700073,518.7509766,349.0700073,772.0108643,409.0700073,4.798342705,409.0700073,13.97026539
375.0700073,224.6200867,350,513.9313965,350,762.3911743,410,4.333538055,410,11.56247139
376,210.8419342,351.0700073,504,351.0700073,759.447937,411.0599976,4.017090797,411.0599976,10.50427723
377.0700073,196.4912262,352,493.5735168,352,741.425354,411.9599915,3.721568823,411.9599915,8.418018341
378,184.2786407,353.0700073,477.3640137,353.0700073,741.0809326,413.0299988,3.021306276,413.0299988,7.176626682
379.0700073,172.1166534,354,476.2636108,354,718.4523315,413.9299927,3.198713779,413.9299927,6.022567749
380,158.0904236,355.0700073,464.4022217,355.0700073,708.2630615,415,2.655412674,415,5.390579224
381.0599976,140.4546661,356,452.9386292,356,716.6739502,416.0599976,2.682624817,416.0599976,4.566949844
381.9599915,128.0982056,357.0700073,442.4745789,357.0700073,692.3869629,416.9599915,2.078143597,416.9599915,4.236667156
383.0299988,113.1579666,358,434.0401001,358,691.623291,418.0299988,1.856678605,418.0299988,3.591230631
383.9299927,102.3738556,359.0700073,417.2323914,359.0700073,674.3168335,418.9299927,1.643716335,418.9299927,3.028586388
385,92.29223633,360,411.6637878,360,667.6177979,420,1.68913877,420,2.642570019
386.0599976,78.12830353,361.0700073,396.7483215,361.0700073,656.1342773,421.0599976,1.308378339,421.0599976,2.302158117
386.9599915,71.44948578,362,392.9950256,362,644.296936,421.9599915,1.392647862,421.9599915,2.088236809
388.0299988,60.53971863,363.0700073,378.3439026,363.0700073,639.6517944,423.0299988,1.286723375,423.0299988,1.775152922
388.9299927,55.54013443,364,359.3929138,364,627.0786133,423.9299927,1.336956382,423.9299927,1.682800651
390,49.25478363,365.0700073,349.8832397,365.0700073,594.2234497,425,1.418248773,425,1.631954551
391.0700073,40.42810822,366,334.4029541,366,578.7038574,426.0599976,1.568935156,426.0599976,1.393246174
392,35.04970932,367.0700073,316.4552002,367.0700073,569.2215576,426.9599915,1.548410654,426.9599915,1.416126251
393.0700073,29.06780624,368,303.821991,368,556.8065796,428.0299988,1.726842999,428.0299988,1.378602862
394,26.18873215,369.0700073,289.3231812,369.0700073,537.1669922,428.9299927,1.633761287,428.9299927,1.451395154
395.0700073,22.46582413,370,261.4440918,370,505.6412964,430,1.729916811,430,1.281400323
396,20.33746529,371.0700073,245.9341888,371.0700073,479.3478088,431.0599976,1.799370289,431.0599976,1.109458447
397.0700073,16.31814384,372,230.9322052,372,462.7428589,431.9599915,1.596130013,431.9599915,1.206287622
398,14.02043056,373.0700073,213.7112579,373.0700073,446.5231323,433.0299988,1.608704209,433.0299988,0.991915941
399.0700073,13.08246326,374,196.9442291,374,422.8865967,433.9299927,1.476811647,433.9299927,0.970037937
400,11.25746536,375.0700073,177.0093994,375.0700073,402.370697,435,1.467223763,435,1.167485476
401.0700073,9.113417625,376,160.0137177,376,378.4285278,436.0599976,1.57562387,436.0599976,0.948813379
402,8.480841637,377.0700073,148.3468628,377.0700073,350.2279053,436.9599915,1.475879669,436.9599915,1.018663406
403.0700073,6.297373772,378,137.996582,378,343.2056274,438.0299988,1.572013497,438.0299988,0.942518175
404,5.968549728,379.0700073,126.4412994,379.0700073,317.4302673,438.9299927,1.548042059,438.9299927,0.902410686
405.0700073,5.146307468,380,112.9746857,380,297.1543274,440,1.46651268,440,0.847193122
406,4.700205803,381.0599976,101.1208267,381.0599976,269.867218,441.0599976,1.479028702,441.0599976,0.863324881
407.0700073,3.818768978,381.9599915,90.45368195,381.9599915,249.0079498,,,441.9599915,0.90910089
408,3.992016077,383.0299988,76.68597412,383.0299988,227.214798,,,443.0299988,0.925997376
409.0700073,3.35970521,383.9299927,67.05204773,383.9299927,208.582016,,,443.9299927,0.990659475
410,3.555522919,385,59.15007401,385,184.2412415,,,445,1.021616936
411.0599976,2.996897936,386.0599976,51.74536133,386.0599976,168.8745422,,,446.0599976,1.144458413
411.9599915,3.071263552,386.9599915,44.75499725,386.9599915,152.2963867,,,446.9599915,1.164181232
413.0299988,2.778111219,388.0299988,38.96160126,388.0299988,130.7350769,,,448.0299988,1.495845556
413.9299927,3.025693655,388.9299927,35.4282341,388.9299927,121.7902603,,,,
415,3.250270844,390,29.50259399,390,107.2853928,,,,
416.0599976,3.280552864,391.0700073,24.95438766,391.0700073,92.95162201,,,,
416.9599915,3.359372854,392,21.98299408,392,82.32098389,,,,
418.0299988,2.838075399,393.0700073,18.56313705,393.0700073,74.27230835,,,,
418.9299927,2.839747906,394,16.65986443,394,67.72389984,,,,
420,2.636394024,395.0700073,14.30216217,395.0700073,58.51005936,,,,
421.0599976,2.077183723,396,12.77436829,396,51.35165405,,,,
